time [ms],mag_x [μT],mag_y [μT],mag_z [μT]
37190,0.3676223754882812,24.49468994140625,-19.896095275878903
37200,0.3286590576171875,24.50093078613281,-20.43745422363281
37210,0.8755035400390625,24.3885498046875,-20.571792602539062
37220,1.0429763793945312,24.37164306640625,-20.33087158203125
37230,1.248260498046875,24.21275329589844,-20.38706970214844
37240,1.577545166015625,24.097824096679688,-20.538597106933597
37250,1.5296554565429688,24.428726196289062,-20.42611694335937
37260,1.4945220947265625,24.430328369140625,-20.483718872070312
37270,1.7449798583984375,24.2913818359375,-20.37242126464844
37280,1.6603240966796875,24.444656372070312,-20.262359619140625
37290,1.6599273681640625,24.39662170410156,-20.3756103515625
37300,1.822357177734375,24.17169189453125,-20.531639099121094
37310,1.911659240722656,24.068771362304688,-20.472183227539062
37320,1.825714111328125,23.886764526367188,-20.494728088378903
37330,1.881263732910156,23.66029357910156,-20.42417907714844
37340,1.8635711669921875,23.6671142578125,-20.362159729003903
37350,2.206756591796875,23.720672607421875,-20.25481414794922
37360,2.4911651611328125,23.49525451660156,-20.21967315673828
37370,2.3976821899414062,23.5579833984375,-20.193260192871094
37380,2.6194381713867188,23.65538024902344,-20.437026977539062
37390,2.6434478759765625,23.557296752929688,-20.44335174560547
37400,2.743194580078125,23.632232666015625,-20.63175201416016
37410,2.8291473388671875,23.438980102539062,-20.619796752929688
37420,2.910713195800781,23.4053955078125,-20.756248474121094
37430,2.5760421752929688,23.304183959960938,-20.66680145263672
37440,2.61175537109375,23.377212524414062,-20.436187744140625
37450,2.830726623535156,22.88246154785156,-20.52893829345703
37460,2.804847717285156,22.90272521972656,-20.96160125732422
37470,2.795127868652344,22.60853576660156,-20.96916961669922
37480,2.9196548461914062,22.67622375488281,-20.752403259277344
37490,3.0857391357421875,22.4613037109375,-20.88434600830078
37500,2.9657974243164062,22.5792236328125,-20.93759155273437
37510,2.813461303710937,22.699020385742188,-20.63681030273437
37520,2.762786865234375,22.5960693359375,-20.879547119140625
37530,2.914398193359375,22.38775634765625,-20.84319305419922
37540,3.1343994140625,22.615997314453125,-20.756576538085938
37550,2.987274169921875,22.44146728515625,-21.18645477294922
37560,2.8384780883789062,22.715576171875,-21.3785400390625
37570,2.902549743652344,22.556427001953125,-21.029319763183597
37580,2.9979705810546875,22.548110961914062,-21.085922241210938
37590,3.0947265625,22.60272216796875,-20.994171142578125
37600,3.1528854370117188,22.59297180175781,-21.043289184570312
37610,2.9511489868164062,22.447494506835938,-20.79180145263672
37620,2.733467102050781,22.529586791992188,-20.62871551513672
37630,3.1669921875,22.59478759765625,-20.876487731933597
37640,3.18359375,22.78672790527344,-21.016647338867188
37650,3.050483703613281,22.779617309570312,-21.06290435791016
37660,3.0565261840820312,22.840805053710938,-21.07553100585937
37670,3.325531005859375,22.611251831054688,-21.11101531982422
37680,3.4692535400390625,22.62997436523437,-21.10009765625
37690,3.927803039550781,22.406219482421875,-21.26983642578125
37700,3.580307006835937,22.20770263671875,-21.41124725341797
37710,3.4255599975585938,21.90327453613281,-21.40521240234375
37720,3.42095947265625,21.7261962890625,-21.534210205078125
