time,acc_x,acc_y,acc_z
152190,-0.503231266010669,-0.7896376350402828,-9.92710827102661
152200,-0.44876319422513467,-0.6133645378112793,-10.224587827301027
152210,-0.5068225753507692,-0.5562029001098125,-10.365696087646484
152220,-0.5330091491588623,-0.6217442436218262,-10.21396355743408
152230,-0.42841245728092026,-0.7694365585327149,-9.905410818481444
152240,-0.3595791390018304,-0.9449613946776836,-9.592368366894126
152250,-0.42332474907033596,-1.1959036561828105,-9.407716148376466
152260,-0.6257844589233398,-1.2879308555603026,-9.285462226104737
152270,-1.0247183459378486,-1.1254242717467249,-9.304465617260334
152280,-0.9258078390494715,-1.0568903953552244,-9.445125549316405
152290,-0.6064812240213504,-1.0690110412597655,-9.49345849533081
152300,-0.4864718543895753,-1.0661679998535663,-9.590124387359618
152310,-0.39683889777143494,-1.095496824060008,-9.595062428283692
152320,-0.36601359706269576,-1.145026797839254,-9.586831775555016
152330,-0.2874538185562008,-1.1924620643615722,-9.38512087020874
152340,-0.3118447845016606,-1.2107177058897913,-9.156324389538169
152350,-0.3917512649093755,-1.243638124847412,-8.96344210281372
152360,-0.41524438696596766,-1.280748250579834,-8.869020774841308
152370,-0.4282628402267583,-1.3217489540100096,-8.95206964492798
152380,-0.3643676016876474,-1.2882299846373495,-9.137470051464437
152390,-0.09277531433105471,-1.127519344329834,-9.445574462127684
152400,0.0674865227630362,-0.9445125549316405,-9.753678288269043
152410,0.1557727272476069,-0.8675987535338849,-9.751134449005127
152420,0.2210147590194828,-1.0061631015501915,-9.660304423522948
152430,0.010923526808153797,-1.2991535297118126,-9.453953583416345
152440,-0.3938461822288577,-1.4631563434325157,-9.073125881847739
152450,-0.6669348638893571,-1.5304935573853553,-8.863633821105957
152460,-0.8249520912612789,-1.5685013626098634,-8.89999575881958
152470,-1.037736736408202,-1.456273159790039,-9.144653240966797
152480,-0.7592611832107419,-1.3103764961242674,-9.39140564956665
152490,-0.3290531180671882,-1.2515689178466796,-9.511564645385743
152500,-0.18779519271850584,-1.279251874542236,-9.633369654846192
152510,-0.21682488784790033,-1.3368623519897458,-9.835081144714357
152520,-0.2608183433532715,-1.3810054450988767,-9.92785645904541
152530,-0.1399111595153809,-1.4182652084350584,-9.799168119812013
152540,-0.029179323599999807,-1.4579191734313963,-9.527426231384277
152550,-0.1491887000816409,-1.5409680435180662,-9.307758229064941
152560,-0.35104981842041005,-1.6870142717223613,-9.203161544036867
152570,-0.3474585250633303,-1.861192588629201,-9.055618866729736
152580,-0.3082534820114263,-1.8677764970641584,-8.9683795592159
152590,-0.40476971817016605,-1.765723724365234,-9.082703273010253
152600,-0.6946177749191411,-1.6630724012512712,-9.387365434265137
152610,-0.7951742355125491,-1.5840636734008786,-9.678260935974121
152620,-0.2585737518974114,-1.6023194610595701,-9.718363813781739
152630,0.05596446380615229,-1.6220716978210956,-9.664195001220703
152640,-0.0906803878784179,-1.6907551387511193,-9.649081018719079
152650,-0.3093009269714355,-1.818695436096191,-9.775824653625486
152660,-0.4798878226570319,-1.9382559545654803,-9.905111543273923
152670,-0.4327519500732422,-1.9731214431762694,-9.810540577697754
152680,-0.22325929567641578,-1.8918682243347167,-9.827898539733887
152690,-0.2726397231834475,-1.838746801934764,-9.955389193615318
152700,-0.5828385031769052,-1.670703772912547,-10.207079643139242
152710,-0.40955812149047843,-1.492036547088623,-10.393079184612631
152720,-0.0618003120864741,-1.3449427825927731,-10.346243199157714
152730,0.022894553375244098,-1.2575543489318342,-10.398017810058592
152740,-0.019901783033739795,-1.3364134391784666,-10.366145000457765
152750,-0.03696046986235299,-1.4604630126953122,-10.27217258529663
152760,-0.048632202955614684,-1.5593734687805174,-10.10622448272705
152770,-0.1583165665115229,-1.6021698234558106,-9.856329684448243
152780,-0.22176291963881814,-1.6864157943725584,-9.785251822662355
152790,-0.43948566964189517,-1.6742951484680175,-9.930101023101807
152800,-0.5425859694992192,-1.5671546241760252,-10.08123500289917
152810,-0.0196024895599112,-1.5586252807617185,-10.020931048583986
152820,0.5484218177795409,-1.5150808841980992,-9.960327819061277
152830,0.7752724250793457,-1.4891934326171876,-9.987262587738035
152840,0.7067383660247549,-1.513584362030029,-9.963021295928954
152850,0.5841851685455068,-1.5809211375914511,-9.84405881641805
152860,0.35868135447846716,-1.7899650161743161,-9.580397943115232
152870,-0.3315969481979497,-1.8801963451109827,-9.389459776195883
152880,-0.45744215469360344,-1.970427966308594,-9.336039736175536
152890,-0.01376665954589841,-1.944091748046875,-9.422979183959962
152900,0.10265137791289008,-1.632995169830322,-9.79976667022705
152910,-0.09172783283842728,-1.2032359718322754,-10.31003089904785
152920,-0.08035541148530312,-0.8589198455810547,-10.699687219238278
152930,0.6795043952057137,-0.7707832969665527,-10.748768353271482
152940,1.219247158901952,-0.8191162429809571,-10.495282252502443
152950,1.2068272377898916,-0.9273042304992676,-10.172513941192625
152960,1.0714051881209945,-1.1276689819335937,-9.745597857666015
152970,0.9491513297813479,-1.3021464279174801,-9.28890389099121
152980,0.6877344086135736,-1.369333712005615,-8.86812294921875
152990,0.4598363472206052,-1.3395558288574219,-8.81649797592163
153000,0.1324292519279289,-1.175103956194967,-9.178919667705895
153010,-0.4795885291832034,-0.8393173925537616,-9.784952547454832
153020,-0.49440264282226565,-0.5204394397459923,-10.376619048199059
153030,0.2048538795471191,-0.21996720446161921,-10.735300384411216
153040,0.8176199034759773,-0.011222747216746098,-10.826430269622803
153050,0.95304184354702,0.030226722894236335,-10.83974801635742
153060,0.713771388200391,-0.03277070828862483,-10.850970836639403
153070,0.4186859970535151,-0.17627309722900408,-10.690260050201415
153080,0.24211365201645518,-0.3984849388122558,-10.30344684448242
153090,0.0386064994867308,-0.7230489013671875,-9.750984811401366
153100,-0.2219125860690969,-1.1065700798034668,-9.13582462234497
153110,-0.2045546080499435,-1.4788684379577635,-8.53517928085327
153120,0.0541688279732333,-1.7205331680297848,-8.160935633850098
153130,0.21173718420389329,-1.726817874322459,-8.280046581920981
153140,0.3856161140220704,-1.496974588012695,-8.855703028106689
153150,0.527921466064453,-1.0027215097289532,-9.699210200500486
153160,0.5776011687790044,-0.49185873049311346,-10.43782141265869
153170,0.7018003707664553,-0.2742858007568866,-10.701931783294677
153180,0.8837597152046394,-0.2739864524841311,-10.787075579833985
153190,0.9015665626525877,-0.3712508218627424,-10.643872393035888
153200,0.679953301167127,-0.4324526748657226,-10.425551129150389
153210,0.23927052869727622,-0.4911105424743145,-10.134356352233887
153220,-0.1830068053812137,-0.6627448739867656,-9.661202249145509
153230,-0.27428573454151617,-0.97683427734375,-9.102156161499023
153240,-0.3303998268182738,-1.2788029617309569,-8.604162216186523
153250,-0.4183867355457274,-1.4703389484129843,-8.281991870769858
153260,-0.1470937599292722,-1.4809634374756364,-8.1334023147583
153270,0.1857002605576476,-1.2942156349182128,-8.401103987884522
153280,0.1686415760123228,-1.0066121604919434,-8.837447240448
153290,0.0282815139604615,-0.7971195152282716,-9.317634310913087
153300,0.0106242561672116,-0.6917746421813965,-9.6594060133785
153310,0.0534206154090817,-0.6741174049377441,-9.705794255065918
153320,-0.038456880149280205,-0.7405564279418438,-9.585933949932455
153330,-0.4837783421309256,-0.8325836273193359,-9.420136069488525
153340,-0.3923498107578371,-1.0284592506408692,-9.282469474029538
153350,-0.021697463961609098,-1.2190975578308103,-9.207052121734618
153360,0.0306756882211542,-1.3174093904357402,-9.131933460125326
153370,-0.21682488784790033,-1.3530230670653283,-8.953266161236163
153380,-0.24510639495849598,-1.4437036010742186,-8.707412162780761
153390,-0.0591068717514164,-1.5893009895324708,-8.616432499694824
153400,0.0628477890125243,-1.6172832214355468,-8.646808933258054
153410,-0.2361281124750908,-1.5227122558593749,-8.935010958099365
153420,-0.5155015620770572,-1.4065934753417968,-9.285312588500979
153430,-0.3158850100779731,-1.3365630037169902,-9.56498468540609
153440,0.0773626297273556,-1.360953933129832,-9.718962364196777
153450,0.1604115157970459,-1.3670891479492187,-9.872789820861819
153460,-0.1207575690670172,-1.2801496270995587,-10.066121020397544
153470,-0.17342998275756838,-1.3431471313476562,-10.055796610260009
153480,0.0489315146957523,-1.50026661529541,-9.813084416961669
153490,0.053270982371899096,-1.6551414621215312,-9.504232402801513
153500,0.0528220581441767,-1.9324200149536135,-9.180117353057861
153510,-0.012569540449511203,-2.159121057714894,-9.05247647705078
153520,-0.21862055735932662,-2.1429601234436033,-9.191489810943603
153530,-0.46567225486643155,-2.0286369941711424,-9.476848721313475
153540,-0.30017303314208993,-1.8788496797423808,-9.88909973514974
153550,-0.1014543044822757,-1.5945383056640625,-10.319308430480955
153560,-0.26815058593749996,-1.2972083869934081,-10.616039798736574
153570,-0.3567360564964358,-1.2472294273376465,-10.755053132629394
153580,0.1366191230995114,-1.3977648567199705,-10.707019461822508
153590,0.29613280870742154,-1.4781201768737287,-10.634893552288414
153600,0.3468599472488275,-1.5689502023559063,-10.535983680725097
153610,0.533607658474706,-1.6410756004333495,-10.651653548431396
153620,0.6175543359176254,-1.6651671815734357,-10.679934471020102
153630,0.6624456901107914,-1.6491560310363769,-10.652401736450194
153640,0.5397428184951654,-1.590947003173828,-10.716147355651856
153650,0.32740707702636707,-1.4944307487487793,-11.001955178833008
153660,0.039354671522509294,-1.4021043472290038,-11.219528254699707
153670,-0.41314942398071297,-1.2458826889038086,-11.271153227996823
153680,-0.3930979850769043,-1.2349591438293457,-11.314697770690914
153690,-0.013766659545898396,-1.3940239166259765,-11.31335103225708
153700,0.209941539808642,-1.4761749610900878,-11.323526389312745
153710,0.2537853577102534,-1.281197163391113,-11.240626572307942
153720,0.338330640367139,-0.9431658164978027,-11.07018992614746
153730,0.312144041442871,-0.5321113920349628,-11.037718566131591
153740,0.1753752533401362,-0.18779519271850587,-11.325471678161618
153750,-0.14948796615600587,0.08170213165283202,-11.772888113403319
153760,-0.5445312583480961,0.1770212852478028,-12.121543730163573
153770,-0.6328174445663578,0.0486322212219239,-11.955146714782716
153780,-0.37663784866333,-0.3396773605346677,-11.21698441543579
153790,-0.10743979949951171,-1.013046504388377,-10.230124418640136
153800,0.13332708668364218,-1.697488977050781,-9.347412194061278
153810,0.2009632835830562,-2.0144214218139647,-8.635586112976075
153820,0.09606734161376951,-1.9014449579101056,-8.301295706176756
153830,-0.13093292155610403,-1.4550759858947246,-8.433276072692871
153840,-0.31498717418061567,-0.8680475932799279,-8.942791528972982
153850,-0.4068646446228028,-0.409558048425242,-9.494206683349612
153860,-0.12599486236572266,-0.1203086334228517,-10.215759208679199
153870,0.5665279313018544,0.12210428466796885,-10.688464398956299
153880,0.7640496047973632,0.22939444656372077,-10.846481708526609
153890,0.585382305908203,0.08649053497314463,-10.678289041900635
153900,0.48228199691772444,-0.29987383099980647,-9.758915604400633
153910,0.3363853332519531,-0.7851485069274903,-8.988281945037842
153920,0.0927752777984365,-1.284489190673828,-8.537723120117187
153930,-0.24061728511201225,-1.4184148460388182,-8.447192369842528
153940,-0.48452661577304823,-1.1281178216796368,-8.73838656223714
153950,-0.3140893485580571,-0.8777741836547852,-8.961347176361084
153960,-0.14125786141660063,-0.7900865478515625,-9.319579599761964
153970,-0.07586628337251022,-0.7589618532042951,-9.714023738750813
153980,0.043394905090332,-0.7073369529724121,-9.752481187438963
153990,0.2959831437041983,-0.6875847162108868,-9.577703881725668
154000,0.5166986457824706,-0.8616133224487303,-9.196128576660156
154010,0.518344659423828,-1.1136030471801759,-8.726266500854493
154020,0.31004909672392533,-1.3465886501036584,-8.302492222484945
154030,-0.10863690032958981,-1.511788710784912,-8.041225550842285
154040,-0.5285200347458012,-1.4652513429503888,-8.033444395446777
154050,-0.7163151909316889,-1.164479832458496,-8.367136251831054
154060,-0.7960720337356442,-0.7456441064696759,-8.929773641967772
154070,-0.7576151878356931,-0.44412440795898434,-9.62828197631836
154080,-0.30705638118134815,-0.18974048156738277,-10.300453507885335
154090,0.2033575217758306,0.006135141754150419,-10.582820250701904
154100,0.49410338588105507,-0.06194996795654306,-10.363451523590086
154110,0.5509656570434569,-0.36990422955937685,-9.85169091873169
154120,0.6088753731658682,-0.8408136224608869,-9.211690302929279
154130,0.582838466644287,-1.3558663276672362,-8.489539811706543
154140,0.3078045235343742,-1.6900070237975564,-7.9459058127254245
154150,-0.1325788986648433,-1.7510592391967772,-7.728333321380616
154160,-0.5527613082885743,-1.5756839675903318,-7.774870031628012
154170,-1.0414777221679687,-1.3159130874633787,-8.207772203826904
154180,-1.1278186195373534,-1.195754091644287,-8.589048818206786
154190,-0.6685807861991692,-1.0706570549011227,-8.89999575881958
154200,-0.1484405029296875,-0.8930372923035175,-9.53071825866699
154210,0.3253121505737304,-0.6943184814453123,-9.957783979797362
154220,0.7191583054031245,-0.6358101783752441,-10.013000255584716
154230,0.7671920310089364,-0.7589619262695312,-9.897180750274655
154240,0.5102642288208006,-1.0006266563415527,-9.558700490570066
154250,0.1900397476417477,-1.2038345222473144,-9.251195214843749
154260,-0.05970541303330108,-1.3630490057129414,-9.13492679672241
154270,-0.2557306830917485,-1.376965156732127,-9.220967834362389
154280,-0.5975029609458987,-1.2626421005249022,-9.368960009002683
154290,-0.45310268245087937,-1.2906242593627422,-9.470114444622396
154300,-0.1119289458786138,-1.225232772650197,-9.957783979797366
154310,-0.05940614695893601,-1.082029512786865,-10.37467434387207
154320,0.1041477904831059,-1.1159971757750957,-10.403704039001466
154330,0.2705447784645016,-1.2039841598510743,-10.259154113769531
154340,0.37828387143784187,-1.407042388153076,-10.013449168395997
154350,0.3096002113121095,-1.6778863778930158,-9.799766670227053
154360,-0.008529352547461108,-1.7338509147644041,-9.765499658966064
154370,-0.1702875793788815,-1.573140128326416,-9.880720613861085
